sigma_tp,diameter,epoch_mjd,ad,producer,rms,H_sigma,closeness,K2,K1,M1,two_body,full_name,M2,sigma_per,equinox,DT,diameter_sigma,saved,albedo,moid_ld,pha,neo,sigma_ad,PC,profit,spkid,sigma_w,sigma_i,per,id,A1,data_arc,A3,score,per_y,sigma_n,epoch_cal,orbit_id,sigma_a,sigma_om,A2,sigma_e,condition_code,rot_per,prov_des,G,last_obs,H,price,IR,spec_T,epoch,n_obs_used,moid,extent,spec_B,e,GM,tp_cal,pdes,class,UB,a,t_jup,om,ma,name,i,tp,prefix,BV,spec,q,w,moid_jup,n,sigma_ma,first_obs,n_del_obs_used,sigma_q,n_dop_obs_used,est_diameter
3.9181e-05,52.929,58600.0,3.825564411683816,Otto Matic,0.50179,,2641.999973309342,,,,,33 Polyhymnia,,7.3926e-06,J2000,,2.304,-45446000000.0,0.24,355.62665936,N,N,1.0597e-08,,3.994187911038154e-46,2000033.0,0.00013504,4.7797e-06,1779.119613898764,a0000033,,59289.0,,1.2400000000000004e-56,4.87096403531489,8.4079e-10,20190427.0,36.0,7.9598e-09,0.00013494,,4.3212e-08,0.0,18.608,,0.33,2018-05-24,8.55,6.200000000000001e-45,,S,2458600.5,2643.0,0.913808,,Sq,0.3313463077354283,0.41372600000000004,20190724.8789899,33.0,MBA,0.438,2.873455531033817,3.212,8.466331743752677,342.0155788867866,Polyhymnia,1.85284483400156,2458689.378989853,,0.848,Sq,1.921346650383817,338.3718756928444,1.60077,0.2023472717559983,7.8956e-06,1856-01-25,,1.2316e-07,,
7.4703e-05,132.992,58600.0,2.972106435159879,Otto Matic,0.50264,,2642.0480885927236,,,,,34 Circe,,5.2452e-06,J2000,,1.033,-26221473900.000004,0.052,550.4225895,N,N,6.4586e-09,,2024495336.6779149,2000034.0,3.9926e-05,2.5556e-06,1609.136458751706,a0000034,,56388.0,,132.1224044296362,4.40557552019632,7.2925e-10,20190427.0,73.0,5.8399e-09,3.6166e-05,,2.2977e-08,0.0,12.15,,,2018-09-16,8.51,31424767137.517494,,C,2458600.5,2919.0,1.41435,,Ch,0.1059480469491282,0.24323085,20171007.7316237,34.0,MBA,0.357,2.687383411326365,3.359,184.3612972478401,126.6869657584461,Circe,5.496016832467634,2458034.2316237483,,0.707,Ch,2.402660387492852,330.6761508668944,2.02034,0.2237224804907294,1.6744e-05,1864-04-28,,6.1518e-08,,
5.0188e-05,103.055,58600.0,3.669499006526438,Otto Matic,0.48,,2637.3940840296746,,,,,35 Leukothea,,6.8793e-06,J2000,,1.201,-7.111389915598152e+17,0.066,513.6966166,N,N,8.8934e-09,,5.480857141239609e+16,2000035.0,2.7436e-05,4.056e-06,1892.307675285515,a0000035,,57933.0,,131.88970420148374,5.18085605827656,6.9161e-10,20190427.0,45.0,7.2564e-09,2.615e-05,,3.2032e-08,0.0,31.9,,,2018-10-22,8.5,8.522548083071795e+17,,C,2458600.5,2850.0,1.31998,,C,0.2255881648204197,,20210526.8641055,35.0,MBA,0.335,2.994071835757417,3.202,353.7389414640166,215.2502420359021,Leukothea,7.932712232712857,2459361.364105531,,0.703,C,2.318644664988396,213.3967282344543,1.34373,0.1902439041503558,9.2964e-06,1860-03-11,,9.5956e-08,,
4.6192e-05,115.204,58600.0,3.58434727321547,Otto Matic,0.43161,,2643.891981870346,,,,,36 Atalante,,9.1846e-06,J2000,,0.532,-31077302400.000004,0.036,373.31793839,N,N,1.3199e-08,,2401076430.269096,2000036.0,1.5981e-05,6.2284e-06,1662.817861492557,a0000036,,55737.0,,132.2145990935173,4.55254719094471,1.1958e-09,20190427.0,85.0,1.0115e-08,1.3763e-05,,5.5768e-08,0.0,9.93,,,2018-09-16,8.46,37244168459.27999,,C,2458600.5,1581.0,0.959267,,,0.3049060481774665,0.2882736,20200130.3879258,36.0,MBA,0.363,2.746824017117285,3.208,358.210018062591,299.7290252912392,Atalante,18.36926257928841,2458878.8879257645,,0.713,C,1.9093007610191,47.7965450061272,2.09381,0.2164999596990505,9.7532e-06,1866-02-08,,1.5205e-07,,
5.4636e-05,108.35,58600.0,3.106281872890079,Otto Matic,0.49653,,2643.7897757021665,,,,,37 Fides,,4.437e-06,J2000,,1.9,-1.653745394755008e+18,0.1826,464.8324314,N,N,5.8569e-09,,1.4544392510350763e-38,2000037.0,7.6252e-05,4.0851e-06,1568.7997031771,a0000037,,59544.0,,4.512265742851318e-49,4.29513950219603,6.4901e-10,20190427.0,118.0,4.982e-09,7.5318e-05,,3.4435e-08,0.0,7.3335,,0.24,2018-10-16,7.29,2.256132871425659e-37,,S,2458600.5,2466.0,1.19442,,S,0.1756051535037853,,20190716.4335004,37.0,MBA,0.414,2.642283307139379,3.37,7.269082946030829,341.5425384814108,Fides,3.070809532738653,2458680.9335004217,,0.843,S,2.178284741388679,62.84351130873574,2.19184,0.2294748011941458,1.2522e-05,1855-10-07,,9.157e-08,,
6.4865e-05,92.255,58600.0,3.164022584715411,Otto Matic,0.47099,,2641.406061379369,,,,,38 Leda,,6.6502e-06,J2000,,0.49,-41076712200.0,0.055,518.4989744,N,N,8.4701e-09,,3170660982.916015,2000038.0,3.551e-05,4.3111e-06,1656.130923277772,a0000038,,59436.0,,132.09030306896847,4.53423935188986,8.7287e-10,20190427.0,101.0,7.3336e-09,3.3216e-05,,3.995e-08,0.0,12.838,,,2018-10-22,8.32,49227824514.46499,,C,2458600.5,2187.0,1.33232,,Cgh,0.1549825297322227,0.38102830000000004,20190404.3261097,38.0,MBA,0.419,2.739454929633416,3.322,295.7200240934729,4.928716916433141,Leda,6.970975213382268,2458577.8261097297,,0.726,Cgh,2.314887274551421,169.3124247893297,1.97467,0.2173741187607904,1.4109e-05,1856-01-29,,1.0961e-07,,
8.8558e-05,179.484,58600.0,3.078030446993401,Otto Matic,0.3993,,2640.331088661697,,,,,39 Laetitia,,4.6683e-06,J2000,,1.685,-32208020000.000004,0.269,569.0249155,N,N,5.6909e-09,,2.828931531898854e-46,2000039.0,2.8059e-05,3.9284e-06,1683.28598732062,a0000039,,59373.0,,8.788000000000003e-57,4.6085858653542,5.9312e-10,20190427.0,102.0,5.1202e-09,2.1953e-05,,3.6027e-08,0.0,5.138,,,2018-09-19,6.0,4.394000000000001e-45,,S,2458600.5,5712.0,1.46215,,S,0.1114755763997384,0.29321162,20200125.3034169,39.0,MBA,0.494,2.769319013705793,3.305,156.9531003287243,301.5493084108223,Laetitia,10.36898115247046,2458873.803416948,,0.898,S,2.460607580418185,209.1324646027803,2.37343,0.2138674014467572,1.8886e-05,1856-02-28,,9.9147e-08,,
0.00012318,111.251,58600.0,2.373855461734438,Otto Matic,0.42036,,2652.1584711331325,,,,,40 Harmonia,,2.2569e-06,J2000,,0.391,-1.7901675110697533e+18,0.22,452.0559803,N,N,2.8643e-09,,1.579403737069029e-38,2000040.0,5.7164e-05,3.2256e-06,1246.942830846745,a0000040,,56235.0,,4.884495255306285e-49,3.41394341094249,5.2253e-10,20190427.0,113.0,2.7357e-09,4.5087e-05,,3.0362e-08,0.0,8.91,,,2018-09-15,7.0,2.4422476276531426e-37,,S,2458600.5,5019.0,1.16159,,S,0.0470213280628561,,20180419.562619,40.0,MBA,0.432,2.26724651934877,3.61,94.18885502985238,107.5249432813363,Harmonia,4.257400612736195,2458228.0626189946,,0.854,S,2.160637576963103,269.7316206155986,2.79762,0.2887060987034502,3.5594e-05,1864-09-27,,6.9049e-08,,
3.1068e-05,205.495,58600.0,3.52071192557208,Otto Matic,0.46648,,2642.950663355336,,,,,41 Daphne,,5.3244e-06,J2000,,1.881,-45393004200.0,0.059,399.4168461,N,N,7.4601e-09,,3505879180.5989966,2000041.0,1.0455e-05,2.0372e-06,1675.195855271109,a0000041,,55618.0,,132.1675331677668,4.58643629095444,6.8304e-10,20190427.0,123.0,5.8492e-09,9.1501e-06,,1.9625e-08,0.0,5.988,,0.1,2018-10-22,7.12,54400625689.36499,,C,2458600.5,2298.0,1.02633,,Ch,0.2754175325025016,0.4210663,20170809.8299409,41.0,MBA,0.363,2.760438707992415,3.233,178.0867370371358,134.3491989737481,Daphne,15.79210053717995,2457975.3299408895,,0.726,Ch,2.00016549041275,45.89572754287956,1.56613,0.2149002451666994,7.0486e-06,1866-07-13,,5.478e-08,,
3.8657e-05,110.997,58600.0,2.985771598081217,Otto Matic,0.56217,,2649.2155045646086,,,,,42 Isis,,3.3313e-06,J2000,,1.378,-13355600000.000002,0.139,350.07553848,N,N,4.7582e-09,,521523841.0904565,2000042.0,2.3623e-05,3.7538e-06,1393.598982745716,a0000042,,59291.0,,132.4769218948971,3.81546607185685,6.1751e-10,20190427.0,100.0,3.8911e-09,2.2205e-05,,3.0355e-08,0.0,13.59,,,2018-10-20,7.53,8073333333.333334,,S,2458600.5,2495.0,0.899544,,L,0.2228231537164217,0.15392386666666666,20201223.160278,42.0,MBA,0.462,2.441703519439272,3.452,84.19733886359604,203.4142800216191,Isis,8.514620995668592,2459206.6602779846,,0.874,L,1.897635440797327,237.3054322303076,2.35747,0.2583239543492746,9.7838e-06,1856-06-20,,7.3847e-08,,
4.5677e-05,71.34,58600.0,2.574368117875185,Otto Matic,0.54119,,2654.817407937676,,,,,43 Ariadne,,3.3262e-06,J2000,,1.254,-9309100000.0,0.234,317.5082362,N,N,4.7783e-09,,8.221335513163431e-47,2000043.0,6.9083e-05,4.2779e-06,1194.704902460351,a0000043,,56325.0,,2.5400000000000007e-57,3.27092375759165,8.3894e-10,20190427.0,107.0,4.0899e-09,6.7921e-05,,3.6704e-08,0.0,5.76218,,0.11,2018-10-20,7.93,1.2700000000000004e-45,,S,2458600.5,2320.0,0.81586,,Sk,0.1683218590475488,0.0847471,20180124.2071106,43.0,MBA,0.49,2.203475093733064,3.642,264.8102088522743,137.946567266204,Ariadne,3.471398985268536,2458142.707110582,,0.863,Sk,1.832582069590942,16.27151735854157,2.55396,0.3013296415362684,1.3914e-05,1864-08-03,,8.1157e-08,,
4.8358e-05,70.64,58600.0,2.781935005914906,Otto Matic,0.5456,,2648.685143044505,,,,,44 Nysa,,3.312e-06,J2000,,4.0,6.617183327355739e+17,0.482,421.0585898,N,N,4.4575e-09,,3284550796030634.5,2000044.0,5.7474e-05,3.8719e-06,1378.001905372359,a0000044,,56272.0,,132.45425715222527,3.77276360129325,6.279e-10,20190427.0,113.0,3.8831e-09,5.6191e-05,,3.4692e-08,0.0,6.422,,0.46,2018-03-27,7.03,5.085593609284949e+16,,E,2458600.5,2520.0,1.08194,,Xc,0.1479228969520967,,20180614.4090357,44.0,MBA,0.245,2.423451098763994,3.494,131.5475553197488,82.7087006986245,Nysa,3.70655325469274,2458283.9090356845,,0.703,Xc,2.064967191613082,343.3326793195108,2.30904,0.2612478245468913,1.2682e-05,1864-03-02,,8.3963e-08,,
9.4547e-05,202.327,58600.0,2.950629532441512,Otto Matic,0.48129,,2641.16195691253,,,,,45 Eugenia,,5.7392e-06,J2000,,2.168,-41939970600.0,0.045,580.096802,N,N,6.8867e-09,,3236995665.663421,2000045.0,3.8528e-05,3.4351e-06,1639.317738991549,a0000045,,55608.0,,132.0780978456265,4.48820736205763,7.6882e-10,20190427.0,102.0,6.3505e-09,3.2498e-05,,3.4073e-08,0.0,5.699,,0.07,2018-08-18,7.46,50262384749.44499,,FC,2458600.5,3208.0,1.4906,,C,0.08443837415752818,0.3890359,20181103.2996272,45.0,MBA,0.274,2.720882627132943,3.344,147.6084190186866,38.36482257664071,Eugenia,6.603526557194116,2458425.7996272133,,0.676,C,2.491135721824373,88.16802085724791,2.06419,0.219603553013133,2.0782e-05,1866-05-19,,9.4516e-08,,
5.3985e-05,112.414,58600.0,2.960229668750411,Otto Matic,0.51763,,2646.4423544322317,,,,,46 Hestia,,3.8992e-06,J2000,,0.737,91496218000.0,0.046,422.9149307,N,N,5.2482e-09,,453772383.94843274,2000046.0,9.2129e-05,3.2783e-06,1466.202263921116,a0000046,,56445.0,,132.3361814873716,4.0142430223713,6.5296e-10,20190427.0,150.0,4.478e-09,9.1359e-05,,3.1351e-08,0.0,21.04,,0.06,2018-10-20,8.36,7031882880.0,,P,2458600.5,3096.0,1.08671,,Xc,0.1720022202594139,0.42573740000000004,20180716.3106601,46.0,MBA,0.226,2.525788447819822,3.432,181.0874890750122,69.90042565757008,Hestia,2.349674618747845,2458315.810660144,,0.692,Xc,2.091347226889234,177.4171717153729,2.48559,0.2455322903657503,1.3314e-05,1864-04-05,,7.9026e-08,,
8.6874e-05,168.174,58600.0,3.255459887799041,Otto Matic,0.48926,,2638.218150266983,,,,,47 Aglaja,,8.0036e-06,J2000,,1.222,-20438386500.000004,0.082,582.4357137,N,N,9.7229e-09,,2226103228.282078,2000047.0,4.4326e-05,4.1446e-06,1786.53038123368,a0000047,,57949.0,,131.93090751334915,4.89125361049604,9.0275e-10,20190427.0,107.0,8.6058e-09,4.1059e-05,,3.1739e-08,0.0,13.178,,0.16,2018-10-22,7.84,34604342441.987495,,C,2458600.5,2454.0,1.49661,,B,0.1298072633057685,0.26858825000000003,20180810.5618941,47.0,MBA,0.3,2.881429420336441,3.276,3.08137869887515,52.27883001380334,Aglaja,4.975208194905542,2458341.061894125,,0.665,B,2.50739895287384,314.6873037280166,2.04817,0.2015079081674523,1.7573e-05,1860-02-24,,9.2933e-08,,
0.00013288,216.473,58600.0,3.335394946383645,Otto Matic,0.53516,,2633.5365313400835,,,,,48 Doris,,8.2975e-06,J2000,,4.757,-48270532200.00001,0.065,742.6881363,N,N,9.2097e-09,,3714842429.771509,2000048.0,3.8604e-05,3.1238e-06,2003.35292010314,a0000048,,57942.0,,131.6968265670042,5.48488136920778,7.4428e-10,20190427.0,167.0,8.5876e-09,3.0257e-05,,3.0349e-08,0.0,11.89,,,2018-10-18,6.9,57849159805.96499,,CG,2458600.5,2594.0,1.90839,,Ch,0.07244388040008176,0.4477583,20180405.9383794,48.0,MBA,0.442,3.110088096301463,3.205,183.5539771494624,69.37478764636703,Doris,6.547416488631697,2458214.438379409,,0.716,Ch,2.884781246219282,253.0539222319485,1.88458,0.1796987422373217,2.3888e-05,1860-02-27,,9.5001e-08,,
5.433e-05,166.252,58600.0,3.794573874353055,Otto Matic,0.55155,,2635.34126395298,,,,,49 Pales,,8.5152e-06,J2000,,2.166,-40875285240.0,0.048,554.4232571,N,N,1.0779e-08,,3147868789.316971,2000049.0,7.5503e-05,3.8655e-06,1998.482750573643,a0000049,,56433.0,,131.78706319764902,5.47154757172798,7.6753e-10,20190427.0,77.0,8.8201e-09,7.4924e-05,,3.7623e-08,0.0,20.705,,,2018-05-24,7.8,48986427126.30299,,CG,2458600.5,2374.0,1.42463,,Ch,0.2220670299184078,0.37915986,20210217.6666907,49.0,MBA,0.411,3.105045616529236,3.18,285.0858222402223,240.6294382114604,Pales,3.195214970048808,2459263.166690724,,0.749,Ch,2.415517358705417,112.2986721667086,1.65899,0.1801366561190813,9.5657e-06,1863-11-20,,1.1374e-07,,
3.175e-05,84.074,58600.0,3.406310555742179,Otto Matic,0.51391,,2645.5618352073348,,,,,50 Virginia,,4.069e-06,J2000,,0.242,-20142696000.0,0.05,346.91469974,N,N,5.8683e-09,,1557236154.413496,2000050.0,7.4281e-05,3.586e-06,1574.601517453948,a0000050,,58655.0,,132.29809176036676,4.31102400398069,5.9081e-10,20190427.0,106.0,4.5633e-09,7.4024e-05,,2.9601e-08,0.0,14.315,,,2018-05-23,9.24,24139738816.199997,,X,2458600.5,2640.0,0.891422,,Ch,0.2859855278797714,0.186844,20170602.9156799,50.0,MBA,0.347,2.648793848682129,3.33,173.528727343488,158.4593641428413,Virginia,2.838219805076201,2457907.415679905,,0.703,Ch,1.891277141622079,200.0805747098362,2.05358,0.2286292728728612,7.5106e-06,1857-10-19,,7.8155e-08,,
