sigma_tp,diameter,epoch_mjd,ad,producer,rms,H_sigma,closeness,K2,K1,M1,two_body,full_name,M2,sigma_per,equinox,DT,diameter_sigma,saved,albedo,moid_ld,pha,neo,sigma_ad,PC,profit,spkid,sigma_w,sigma_i,per,id,A1,data_arc,A3,score,per_y,sigma_n,epoch_cal,orbit_id,sigma_a,sigma_om,A2,sigma_e,condition_code,rot_per,prov_des,G,last_obs,H,price,IR,spec_T,epoch,n_obs_used,moid,extent,spec_B,e,GM,tp_cal,pdes,class,UB,a,t_jup,om,ma,name,i,tp,prefix,BV,spec,q,w,moid_jup,n,sigma_ma,first_obs,n_del_obs_used,sigma_q,n_dop_obs_used,est_diameter
1.327e-08,939.4,58600.0,2.979646696468275,Davide Farnocchia,0.36954,,2640.0802241862843,,,,,1 Ceres,,2.3543e-08,J2000,,0.2,-6778017204000.001,0.09,620.6405326,N,N,2.7786e-11,,522924215944.27673,2000001.0,1.1463e-08,1.9267e-09,1683.145700575484,a0000001,,24437.0,,132.02401120931424,4.6082017811786,2.9918e-12,20190427.0,34.0,2.5823e-11,1.1722e-08,,1.172e-11,0.0,9.07417,,0.12,2017-03-05,3.34,8123022111651.299,,G,2458600.5,5993.0,1.59478,964.4 x 964.2 x 891.8,C,0.07600902762923671,62.873006000000004,20180430.2541287,1.0,MBA,0.426,2.769165146349478,3.309,80.30553084093981,77.37209773768207,Ceres,10.59406732590292,2458238.7541287453,,0.713,C,2.558683596230681,73.59769486239257,2.09753,0.2138852268564227,3.8719e-09,1950-04-09,405.0,5.6278e-11,0.0,
4.2568e-05,545.0,58600.0,3.411066885554264,Otto Matic,0.35911,,2641.8234972235623,,,,,2 Pallas,,3.7748e-06,J2000,,18.0,-1050220927058.8237,0.101,479.9400108,N,N,5.0909e-09,,114544028871.98692,2000002.0,9.5186e-06,3.7128e-06,1686.155999342055,a0000002,,71865.0,,132.1111748611781,4.61644353002616,4.7797e-10,20190427.0,34.0,4.1378e-09,6.4634e-06,,3.3707e-08,0.0,7.8132,,0.11,2018-02-10,4.13,1778134717223.647,,B,2458600.5,8441.0,1.23324,582x556x500,B,0.2303368122519394,13.80133411764706,20180721.3832004,2.0,MBA,0.284,2.772465922815752,3.043,173.0800618276949,59.69913098405375,Pallas,34.83623460557907,2458320.883200377,,0.635,B,2.13386496007724,310.0488584525203,1.85493,0.2135033769950547,9.1517e-06,1821-05-09,,9.3154e-08,,
3.8028e-05,246.596,58600.0,3.354966971211181,Otto Matic,0.31378,,2644.5207185757786,,,,,3 Juno,,3.3732e-06,J2000,,10.594,-198520833333.33334,0.214,402.6119318,N,N,4.7367e-09,,1.7464376415226536e-45,2000003.0,1.9082e-05,3.5292e-06,1592.787284087904,a0000003,,72161.0,,5.416666666666668e-56,4.36081391947407,4.7866e-10,20190427.0,107.0,3.7685e-09,1.7902e-05,,3.2676e-08,0.0,7.21,,0.32,2017-11-26,5.33,2.7083333333333337e-44,,S,2458600.5,7010.0,1.03454,,Sk,0.2569423149737984,1.8072708333333334,20181123.4774274,3.0,MBA,0.433,2.669149515649107,3.298,169.8527548037533,34.92501898650092,Juno,12.98891943923851,2458445.9774273937,,0.824,Sk,1.983332060087033,248.1386297217077,2.18657,0.2260188812382131,8.6339e-06,1820-05-02,,8.7261e-08,,
4.1741e-06,525.4,58600.0,2.570926338111508,Davide Farnocchia,0.39592,,2649.7975580265224,,,,,4 Vesta,,1.2968e-06,J2000,,0.2,-1939090416666.6665,0.4228,443.4514316,N,N,1.6769e-09,,1.7092704138233867e-44,2000004.0,1.805e-07,2.2072e-07,1325.432764736216,a0000004,,24288.0,,5.2908333333333334e-55,3.62883713822373,2.6574e-10,20190427.0,34.0,1.5403e-09,3.9411e-07,,2.3717e-10,0.0,5.34212766,,0.32,2017-03-23,3.2,2.6454166666666668e-43,,V,2458600.5,9325.0,1.13948,572.6 x 557.2 x 446.4,V,0.08872145950956178,17.652865416666664,20180509.0595802,4.0,MBA,0.492,2.361417895877277,3.535,103.810804427096,95.86193620017683,Vesta,7.141770811873426,2458247.5595801924,,0.782,V,2.151909453643047,150.7285412870121,2.46988,0.2716094015313151,1.2275e-06,1950-09-23,2977.0,1.9617e-09,0.0,
3.8278e-05,106.699,58600.0,3.066173786932414,Otto Matic,0.49752,,2645.555146834909,,,,,5 Astraea,,4.0163e-06,J2000,,3.14,-21147050000.0,0.274,426.4875113,N,N,5.4419e-09,,1.8610868086289368e-46,2000005.0,3.066e-05,2.8131e-06,1508.60045807858,a0000005,,63097.0,,5.770000000000001e-57,4.13032295161829,6.353e-10,20190427.0,107.0,4.5689e-09,2.973e-05,,2.4345e-08,0.0,16.806,,,2018-09-16,6.85,2.8850000000000007e-45,,S,2458600.5,2695.0,1.09589,,S,0.191094522814835,0.19251605000000002,20200317.3284682,5.0,MBA,0.411,2.574248918285955,3.396,141.5765957220505,282.3662912620402,Astraea,5.366988177936237,2458925.8284682347,,0.826,S,2.082324049639495,358.6876128146665,1.9604,0.2386317716345598,9.054e-06,1845-12-15,,6.2247e-08,,
2.9502e-05,185.18,58600.0,2.917484701566579,Otto Matic,0.39825,,2649.328266764113,,,,,6 Hebe,,2.5935e-06,J2000,,2.9,-103792800000.00002,0.2679,379.03795905,N,N,3.6568e-09,,9.147512698112302e-46,2000006.0,1.3726e-05,2.2906e-06,1379.459705568168,a0000006,,61770.0,,2.8320000000000007e-56,3.77675484070683,4.9065e-10,20190427.0,85.0,3.0397e-09,1.1797e-05,,2.0567e-08,0.0,7.2745,,0.24,2017-10-19,5.71,1.4160000000000004e-44,,S,2458600.5,5986.0,0.973965,,S,0.2030071057382805,0.9448968000000001,20180531.7040009,6.0,MBA,0.399,2.425159990868159,3.439,138.6402040860603,86.19792168692148,Hebe,14.73790068157333,2458270.2040009145,,0.822,S,1.932835280169739,239.8074896057582,2.6358,0.2609717402740113,7.752e-06,1848-09-05,,5.0172e-08,,
2.5964e-05,199.83,58600.0,2.93683679854833,Otto Matic,0.36591,,2650.7674106458044,,,,,7 Iris,,1.8174e-06,J2000,,10.0,-102148785714.28572,0.2766,329.276737,N,N,2.6444e-09,,9.007512029904217e-46,2000007.0,2.7269e-05,2.613e-06,1345.619195824584,a0000007,,61942.0,,2.787142857142858e-56,3.6841045744684,3.6134e-10,20190427.0,108.0,2.1478e-09,2.6599e-05,,2.0047e-08,0.0,7.139,,,2018-03-27,5.51,1.393571428571429e-44,,S,2458600.5,5110.0,0.8461,,S,0.2312057882091302,0.9299302142857144,20171118.1350452,7.0,MBA,0.484,2.38533381395173,3.493,259.5632326380281,140.4196553603943,Iris,5.523651438133126,2458075.635045211,,0.855,S,1.833830829355129,145.265103459468,2.47021,0.2675348279194212,7.0694e-06,1848-08-23,1.0,4.7778e-08,0.0,
4.1361e-05,147.491,58600.0,2.546338634461572,Otto Matic,0.5264,,2654.741330194822,,,,,8 Flora,,1.9436e-06,J2000,,1.025,-56212955555.555565,0.226,340.20307392,N,N,2.7649e-09,,0.0,2000008.0,2.7387e-05,3.3461e-06,1193.313716470842,a0000008,,62300.0,,0.0,3.26711489793523,4.9135e-10,20190427.0,116.0,2.3907e-09,2.5032e-05,,2.4473e-08,0.0,12.865,,0.28,2018-05-23,6.49,0.0,,S,2458600.5,2670.0,0.874176,,,0.1564992504040566,0.5117449555555557,20201025.3236232,8.0,MBA,0.489,2.201764189273737,3.641,110.8893299358875,194.8828965630362,Flora,5.886954138633143,2459147.8236232093,,0.885,?,1.857189744085902,285.2874607293782,2.86902,0.3016809368995437,1.2334e-05,1847-10-27,,5.356e-08,,
4.0274e-05,190.0,58600.0,2.67934242213977,Otto Matic,0.42172,,2649.4181511047195,,,,,9 Metis,,2.9619e-06,J2000,,,-63926762500.00001,0.118,430.7761647,N,N,3.931e-09,,0.0,2000009.0,2.6887e-05,2.0461e-06,1345.875359602654,a0000009,,61768.0,,0.0,3.68480591266983,5.8866e-10,20190427.0,113.0,3.5001e-09,2.4973e-05,,1.8665e-08,0.0,5.079,,0.17,2018-09-11,6.28,0.0,,S,2458600.5,2632.0,1.10691,,,0.1231142653696762,0.5819690125,20200302.8163854,9.0,MBA,0.496,2.385636532946946,3.519,68.90858238730618,276.8616187640486,Metis,5.576815381196452,2458911.3163853963,,0.858,?,2.091930643754122,6.417370185027647,2.55446,0.2674839073554952,1.0712e-05,1849-07-31,,4.4744e-08,,
6.1608e-05,407.12,58600.0,3.494838741095881,Otto Matic,0.53109,,2633.2819699462457,,,,,10 Hygiea,,6.7616e-06,J2000,,6.8,-625982237000.0,0.0717,692.0960363,N,N,7.7459e-09,,48170187677.37012,2000010.0,3.0405e-05,2.1883e-06,2033.818283444788,a0000010,,61872.0,,131.6840984973123,5.56829098821297,5.8847e-10,20190427.0,90.0,6.9628e-09,2.8718e-05,,1.6377e-08,0.0,27.63,,,2018-10-19,5.43,750199859282.0249,,C,2458600.5,3341.0,1.77839,,C,0.1124606578329963,5.806622166666667,20161218.2324108,10.0,MBA,0.351,3.141539178476305,3.197,283.2021663567859,152.1848508422612,Hygiea,3.831560260844386,2457740.732410816,,0.696,C,2.788239615856729,312.315207696501,1.53558,0.1770069641572149,1.1128e-05,1849-05-26,,5.1029e-08,,
4.9975e-05,142.887,58600.0,2.699578830844098,Otto Matic,0.44295,,2647.516289279344,,,,,11 Parthenope,,2.3315e-06,J2000,,1.008,-41324911111.111115,0.191,464.3654274,N,N,2.99e-09,,3.63957429243679e-46,2000011.0,2.8815e-05,3.6601e-06,1403.375197164405,a0000011,,61272.0,,1.1275555555555557e-56,3.84223188819823,4.2618e-10,20190427.0,102.0,2.717e-09,2.558e-05,,3.2426e-08,0.0,13.7204,,,2018-06-20,6.55,5.637777777777779e-45,,S,2458600.5,5420.0,1.19322,,Sk,0.1004722627546813,0.3762089111111111,20200308.0296261,11.0,MBA,0.417,2.45310938059135,3.483,125.5465851222689,278.9306853688023,Parthenope,4.629886722119001,2458916.5296261236,,0.837,Sk,2.206639930338603,195.5503976663632,2.54671,0.2565244139467473,1.2788e-05,1850-09-17,,8.0157e-08,,
2.7407e-05,115.087,58600.0,2.848264899688034,Otto Matic,0.5201,,2651.9150475481197,,,,,12 Victoria,,2.3637e-06,J2000,,1.199,-15945660000.000002,0.163,321.04695901,N,N,3.4454e-09,,623297783.3016577,2000012.0,2.101e-05,2.5866e-06,1302.67969236049,a0000012,,61352.0,,132.615030377406,3.56654262111017,5.0144e-10,20190427.0,112.0,2.8237e-09,2.0106e-05,,2.5972e-08,0.0,8.6599,,0.22,2018-09-09,7.24,9639000000.000002,,S,2458600.5,2823.0,0.824953,,L,0.2201715667202758,0.18377442000000002,20171230.5167963,12.0,MBA,0.515,2.334315089265638,3.522,235.4101835262568,133.3358878139632,Victoria,8.37307433147402,2458118.0167963384,,0.874,L,1.820365278843242,69.64180604042276,2.43133,0.2763534290978856,7.7152e-06,1850-09-18,,6.0913e-08,,
9.9851e-05,222.792,58600.0,2.795252244086217,Otto Matic,0.55571,,2644.4310795854663,,,,,13 Egeria,,3.7686e-06,J2000,,7.87,-85597465725.0,0.07,558.9765461,N,N,4.6504e-09,,6614730010.766661,2000013.0,2.7576e-05,4.0952e-06,1510.123386058998,a0000013,,61297.0,,132.24155397927333,4.13449250118822,5.9491e-10,20190427.0,86.0,4.2856e-09,1.3182e-05,,3.3657e-08,0.0,7.045,,,2018-09-18,6.74,102583113299.73561,,G,2458600.5,2352.0,1.43633,,Ch,0.08512141377834759,0.7940035875,20210419.6490003,13.0,MBA,0.452,2.575981091694859,3.364,43.2219168881917,187.4885068952582,Egeria,16.53612293574766,2459324.149000282,,0.745,Ch,2.356709939303502,80.54483120895175,2.35787,0.2383911164633375,2.3776e-05,1850-11-21,,8.6503e-08,,
5.0169e-05,152.0,58600.0,3.016277078464746,Otto Matic,0.50866,,2644.9675993285446,,,,,14 Irene,,3.4926e-06,J2000,,,-28157671428.571434,0.159,459.0882822,N,N,4.6248e-09,,2.4775196804155605e-46,2000014.0,2.4254e-05,3.9e-06,1518.560846169753,a0000014,,61106.0,,7.682857142857145e-57,4.15759300799385,5.4523e-10,20190427.0,78.0,3.9644e-09,2.1206e-05,,3.1259e-08,0.0,15.028,,,2018-09-07,6.3,3.8414285714285724e-45,,S,2458600.5,2603.0,1.17966,,S,0.166582309499986,0.2563385285714286,20170531.2635316,14.0,MBA,0.388,2.585567305368762,3.385,86.12265722408361,164.9358530800368,Irene,9.12164463354672,2457904.7635316197,,0.833,S,2.154857532272778,97.8589955178267,2.00868,0.2370665626655814,1.1931e-05,1851-05-20,,8.1478e-08,,
3.3651e-05,231.689,58600.0,3.136126021496668,Otto Matic,0.54684,,2643.8914435843135,,,,,15 Eunomia,,3.2446e-06,J2000,,2.234,-216798846153.84613,0.248,464.9997745,N,N,4.3197e-09,,1.9067800775000548e-45,2000015.0,1.5702e-05,2.5431e-06,1570.418186940279,a0000015,,60950.0,,5.9153846153846165e-56,4.29957066924101,4.7363e-10,20190427.0,73.0,3.642e-09,1.4056e-05,,2.7175e-08,0.0,6.083,,0.23,2018-07-18,5.28,2.9576923076923083e-44,,S,2458600.5,2483.0,1.19485,,S,0.18608436148409,1.973668076923077,20200326.2037586,15.0,MBA,0.451,2.64410030461289,3.339,292.9343384257299,283.3876975527824,Eunomia,11.75242984775453,2458934.703758629,,0.839,S,2.152074587729113,98.49868110305854,2.41808,0.2292383028888663,7.6304e-06,1851-09-02,,7.1376e-08,,
8.7903e-05,226 ,58600.0,3.314342995363905,Ryan S. Park,0.32792,,2637.4303921594637,,,,,16 Psyche,,7.6705e-06,J2000,,23.0,395975200000.00006,0.1203,597.687286,N,N,9.2812e-09,,1779704237.5740838,2000016.0,7.2201e-05,3.9834e-06,1826.093333968033,a0000016,,12333.0,,131.8915196079732,4.99957107178106,8.2809e-10,20190427.0,88.0,8.1876e-09,7.037e-05,,3.1268e-08,0.0,4.196,,0.2,2018-03-29,5.9,27673419946.666664,,M,2458600.5,2246.0,1.5358,279 x 232 x 189,X,0.1335684622017801,1.8426377333333332,20200424.5149346,16.0,MBA,0.299,2.923813696198208,3.263,150.0456496278164,288.3358774669384,Psyche,3.096005212498105,2458964.014934562,,0.729,X,2.533284397032511,228.8230967648907,2.14428,0.1971421686413659,1.7229e-05,1984-06-22,,8.9722e-08,,253.1582980297543
3.9149e-05,84.899,58600.0,2.798989254806354,Otto Matic,0.51527,,2647.3598468655327,,,,,17 Thetis,,3.1478e-06,J2000,,2.027,-9565650000.0,0.193,439.6881577,N,N,4.1417e-09,,8.424177009328949e-47,2000017.0,2.8154e-05,2.9865e-06,1418.199188889292,a0000017,,60656.0,,2.6100000000000005e-57,3.88281776561066,5.6342e-10,20190427.0,105.0,3.6554e-09,2.6678e-05,,2.8055e-08,0.0,12.27048,,,2018-05-13,7.76,1.3050000000000003e-45,,S,2458600.5,3439.0,1.12981,,Sl,0.1330316129616815,0.08708265,20191206.1127926,17.0,MBA,0.438,2.470354068488832,3.466,125.5529504163442,303.3643694423456,Thetis,5.591204655582279,2458823.612792553,,0.829,Sl,2.141718882171311,136.2082543777479,2.27528,0.2538430446303848,9.8897e-06,1852-04-17,,6.9058e-08,,
3.5174e-05,139.594,58600.0,2.796576127700692,Otto Matic,0.41806,,2652.87680381258,,,,,18 Melpomene,,2.209e-06,J2000,,2.452,-25749242857.142857,0.181,316.49561586,N,N,3.2395e-09,,2.2723831778529485e-46,2000018.0,2.1958e-05,3.8354e-06,1271.281262922078,a0000018,,60670.0,,7.025714285714286e-57,3.4805784063575,4.9205e-10,20190427.0,106.0,2.6604e-09,2.0215e-05,,3.1806e-08,0.0,11.57,,0.25,2018-08-08,6.51,3.512857142857143e-45,,S,2458600.5,5053.0,0.813258,,S,0.2176743745990289,0.23441295714285715,20200319.5160266,18.0,MBA,0.425,2.296653511018973,3.542,150.3838568328796,267.2543794968664,Melpomene,10.12873159571224,2458928.016026566,,0.854,S,1.796730894337254,227.9508521986118,2.69306,0.2831788766968288,9.8739e-06,1852-06-29,,7.2763e-08,,
4.2735e-05,200.0,58600.0,2.828773432976866,Otto Matic,0.49579,,2648.309910997183,,,,,19 Fortuna,,2.8166e-06,J2000,,,-61659030533.33333,0.037,413.3491321,N,N,3.8092e-09,,4771824481.296136,2000019.0,0.00010667,2.6175e-06,1394.46133978736,a0000019,,60549.0,,132.43549554985916,3.81782707676211,5.2146e-10,20190427.0,126.0,3.2893e-09,0.00010624,,2.3462e-08,0.0,7.4432,,0.1,2018-06-25,7.13,73894422709.58998,,G,2458600.5,3096.0,1.06213,,Ch,0.1580468518313828,0.5719502444444444,20210116.0694343,19.0,MBA,0.324,2.442710697329152,3.483,211.1440430519207,197.3386268322628,Fortuna,1.573782302855905,2459230.569434331,,0.719,Ch,2.056647961681437,182.0650161450377,2.59551,0.2581642027127808,1.0862e-05,1852-09-14,,5.7585e-08,,
3.3629e-05,135.68,58600.0,2.752131494735019,Otto Matic,0.52248,,2648.9730501878216,,,,,20 Massalia,,3.0489e-06,J2000,,3.674,-39206337500.0,0.241,422.0976737,N,N,4.094e-09,,3.4548868932986464e-46,2000020.0,0.00019225,2.4466e-06,1366.359573092945,a0000020,,60021.0,,1.0697500000000003e-56,3.740888632698,5.8791e-10,20190427.0,103.0,3.5847e-09,0.00019206,,2.2196e-08,0.0,8.098,,0.25,2018-04-26,6.5,5.348750000000001e-45,,S,2458600.5,2407.0,1.08461,,S,0.1420666830983617,0.35692208750000004,20180204.294856,20.0,MBA,0.463,2.409781788983322,3.506,206.1088074291358,117.6951184917533,Massalia,0.7087510069467414,2458153.7948559513,,0.854,S,2.067432083231626,256.7733123775827,2.37907,0.2634738374065692,8.928e-06,1853-12-26,,5.3565e-08,,
6.1485e-05,95.76,58600.0,2.83272336045047,Otto Matic,0.37057,,2648.5654440853345,,,,,21 Lutetia,,3.896e-06,J2000,,4.1,24378000000.000004,0.2212,400.0317347,N,N,5.3014e-09,,110029115.67534557,2000021.0,6.5738e-05,3.8096e-06,1387.828062492286,a0000021,,55535.0,,132.43167960266672,3.79966615329852,7.282e-10,20190427.0,103.0,4.557e-09,6.4371e-05,,3.0313e-08,0.0,8.1655,,0.11,2018-04-24,7.35,1703699200.0,,M,2458600.5,4559.0,1.02791,,Xk,0.1633561017492255,0.113441,20190626.5498508,21.0,MBA,0.189,2.434958097689246,3.485,80.86580310843537,344.2934821177674,Lutetia,3.064054163192655,2458661.0498507805,,0.686,Xk,2.037192834928021,249.916931000493,2.50926,0.259398126993848,1.5922e-05,1866-04-06,,7.4355e-08,,
8.6301e-05,167.536,58600.0,3.199562423976596,Otto Matic,0.45122,,2637.2823155100186,,,,,22 Kalliope,,6.7873e-06,J2000,,3.053,112808000000.00002,0.166,639.4880357,N,N,7.9648e-09,,506985295.6231028,2000022.0,1.9569e-05,4.0906e-06,1817.7013762918,a0000022,,60026.0,,131.8798833445676,4.97659514385161,7.3953e-10,20190427.0,93.0,7.2561e-09,1.2151e-05,,3.8206e-08,0.0,4.1483,,0.21,2018-08-18,6.45,7883784533.333333,,M,2458600.5,2853.0,1.64321,,X,0.09767687508287445,0.5249426666666667,20210730.1786885,22.0,MBA,0.234,2.914849074993066,3.232,66.05276989131626,196.5714348128383,Kalliope,13.71531285364466,2459425.678688517,,0.715,X,2.630135726009536,356.082080322098,2.12719,0.1980523339507052,1.6844e-05,1854-04-14,,1.0898e-07,,
